The Guernsey Literary and Potato(-)Peel Pie Society	1067.8012208346593,2049.071265544115
The Savage Detectives:(-)A Novel	1359.7177929702555,2177.4037948800847
Netherland	1615.029883446741,1757.068648230405
Testimony: A(-)Novel	918.4862237762484,1830.0998471506373
Couldn't Keep It to Myself:  Wally Lamb(-)and the Women of York Correctional Institution	974.8766968481034,1430.8363147974562
I Know This Much Is(-)True: A Novel	973.5954368215137,1555.8268583104395
Interpreter of(-)Maladies	1384.762936940702,2071.1388935011573
Olive Kitteridge:(-)Fiction	1090.322339446236,1921.3861278433224
The Art of Racing(-)in the Rain	1609.449921474467,2158.4795147979125
Dewey: The Small-Town Library Cat(-)Who Touched the World	1878.5752993563688,2248.8277335233424
Love: A(-)Novel	1733.9319277706693,1165.87778002061
Jazz	1709.0076037977788,982.6717945600473
Tar Baby	1798.408995077119,1005.007432531006
In Our(-)Time	2121.3633352641177,1028.7909377021217
Quicksand and(-)Passing	2206.1682642322457,834.9955672835268
Zora Neale Hurston: A(-)Life in Letters	2232.744821836704,527.3719583380309
Julius Caesar(-)	3025.871522099262,2235.480248715989
Romeo &(-)Juliet	2932.9687740321715,2268.8862260881856
A Midsummer Night's(-)Dream	3034.090388824891,2448.996062444386
Macbeth	2931.1764856541945,2610.0483518065944
The Tempest(-)	3238.5641532457525,2456.232917807066
Hamlet_	3165.755913762297,2104.54532534539
A Midsummer Night's(-)Dream_	3132.84878675097,2028.8423902352972
Spark Notes No Fear(-)Shakespeare Othello	3130.9439528929825,2277.964080979067
Once There Was a(-)War	1710.9290768138449,671.4279765880518
To a God(-)Unknown	1464.4038041586798,653.443335199332
The Double and(-)The Gambler	2032.1217813949097,2430.6356322499555
The Adolescent	1930.8852131488238,2448.2514651839447
The Myth of Sisyphus:(-)And Other Essays	2260.316419101014,2899.987759062321
The Plague	2190.9085174999614,2739.936432542974
Siddhartha	2889.347372756113,2399.7762844116382
The Fall	2263.9534495041503,2813.6794537016813
Jane Eyre(-)	2940.1774479354085,1766.8036344312438
Wuthering Heights(-)	3365.5004805240433,1640.9004273269954
The Awakening	2380.7289513954493,1487.5099007511135
World Without(-)End	257.6590447567341,2299.335320967198
A Dangerous(-)Fortune	162.3131680729938,2459.7934332682307
Eye of(-)the Needle	217.07988786884914,2393.8564757507756
The Key(-)to Rebecca	238.86930030692923,2513.2143674313415
Choose To Be Happy: A(-)Guide to Total Happiness	457.03397885248444,2145.5456733138108
Pilgrims	615.6090974881396,1937.6949648283164
Stern Men	562.5174113755137,2066.068380024762
The Last(-)American Man	564.4802158349854,1981.23335560668
The Unbearable Lightness of(-)Being: A Novel	1745.5915757511773,2655.5671077608513
Collected Stories	1451.1422191250197,2654.7914534469896
Memories of My(-)Melancholy Whores	1391.114587652006,2712.78766342771
Chronicle of a(-)Death Foretold	1729.7521124548912,2580.0855569138957
Water for Elephants:(-)A Novel	1093.6805666140258,2583.107423717857
The Virgin Suicides:(-)A Novel	1277.175988430223,1568.1276713125653
The Glass Castle:(-)A Memoir	915.7139642110634,2474.4191039379853
The Other Boleyn(-)Girl	580.0466290355424,3212.539726060115
On Chesil(-)Beach	1132.766210912099,2471.7443723716333
No Country for Old(-)Men	470.7996366045247,2946.030006843015
Nausea	2184.1562218179947,2939.546102470159
Being And(-)Nothingness	2285.3666472410055,3148.6905327739773
Things Fall(-)Apart	2523.667987045857,2045.7889538869545
All Quiet on the(-)Western Front	2733.0946373596807,2068.1341872410267
Rosencrantz and Guildenstern(-)Are Dead	2649.4157327956386,2413.5220598363894
Othello	3110.8235820365776,2429.2968863737287
King Lear_(-)	3056.131500494299,2065.3049774128745
Beowulf	2857.303360754845,2809.0671609828732
Fool for Love and(-)Other Plays	3094.547024712091,450.43192899168366
August: Osage(-)County	3214.453037367594,263.68685243035725
The Clean House and(-)Other Plays	3286.2334291075886,162.3818823608175
Speed-the-Plow	3039.151614420675,374.57098568276194
Topdog/underdog	3068.0507486255315,600.6030301572197
Drown	1397.6898092684667,1817.0628561183328
Out Stealing Horses:(-)A Novel	1207.9178483484786,2126.6759611608154
The Girl Who Played(-)with Fire	1001.253159856299,1748.3582215575618
The Brass Verdict:(-)A Novel	656.6058737651002,1547.249975361955
A Fraction of(-)the Whole	1274.6022814228184,1805.7394197933158
The Secret(-)Scripture	1207.1812816605004,1892.6229317319585
The Northern(-)Clemency	1175.088321912403,1827.7859195161384
Loving Frank:(-)A Novel	947.8898227606613,2237.5259795009983
The Help	855.3455310257501,1860.7181657765136
Then We Came to(-)the End: A Novel	1153.7682572686706,2308.872115597136
Tree of Smoke:(-)A Novel	1014.5547506418611,2319.0130312091483
Lush Life:(-)A Novel	1483.7135788566852,1869.6446001621835
Handle with Care:(-)A Novel	702.8796521837254,1788.3012348045074
The Associate	529.3172786794355,1814.9901952353991
I'll Fly Away: Further Testimonies from(-)the Women of York Prison	1079.2768536088663,1542.1075891563137
She's Come(-)Undone	884.6366418944503,1457.6460696701868
Sickened: The True Story(-)of a Lost Childhood	1031.2872708206612,1395.2678776837909
Drowning Ruth: A(-)Novel	830.8037309566315,1359.9788690716082
Black and(-)Blue	774.2989824035895,1433.7209128668185
The Namesake:(-)A Novel	1299.525476240201,2341.1261386388587
The God of Small(-)Things: A Novel	1683.93803098541,2053.887518070319
A Fine(-)Balance	1311.055225238407,2026.3528632321477
The Elegance of(-)the Hedgehog	1059.4488175846034,1851.9991562903367
Merle's Door: Lessons from(-)a Freethinking Dog	1741.3063890402107,2154.4623666636403
Amazing Gracie: A(-)Dog's Tale	2077.655821989027,2343.386562281496
Wesley the Owl: The Remarkable Love Story(-)of an Owl and His Girl	1460.8629013134503,2112.519207855227
Alex & Me: How a Scientist and a Parrot Uncovered a Hidden(-)World of Animal Intelligence--and Formed a Deep Bond in the Process	1621.3712773869709,2084.0485467240323
Letter to(-)My Daughter	1676.2580161652172,1856.7519212996087
The Bluest(-)Eye	1909.0929251467462,1150.8415510403643
Cultural Contexts for Ralph Ellison's Invisible(-)Man: A Bedford Documentary Companion	2038.2028046620524,660.0998944887939
Spark Notes(-)Invisible Man	2253.341396034219,915.8195335140299
A Farewell(-)To Arms	2091.5920462615413,1266.6166074048406
The Sun(-)Also Rises	2107.615657731941,1476.3165005363533
Cane	2108.445594105716,782.6312745217095
Plum Bun: A Novel(-)Without a Moral	2210.7604022479086,725.4876424661244
Wrapped in Rainbows: The Life of(-)Zora Neale Hurston	2364.009177697626,534.493786063541
Every Tongue Got to Confess: Negro(-)Folk-tales from the Gulf States	2243.7645938685982,608.3264630115067
The Complete(-)Stories	2351.088087331253,594.5319129250463
Zora Neale Hurston : Folklore, Memoirs, and Other Writings : Mules and(-)Men, Tell My Horse, Dust Tracks on a Road, Selected Articles	2037.8082972593484,852.8137724912908
Dust Tracks on a(-)Road: An Autobiography	2396.322753258513,422.05713609096335
The Odyssey: The(-)Fitzgerald Translation	2573.604608984382,3340.8876064662236
The Iliad(-)	2337.2145817040414,3663.0206328283007
The Aeneid(-)	2341.5857134172825,3809.401043256862
Mythology	2270.2776899412165,2349.592409445768
The Three Theban(-)Plays	2511.5741854470775,3607.0392705322074
The Moon(-)Is Down	1951.8301993734894,831.9032373232758
The Pastures of(-)Heaven	1526.4479112676825,580.3376780003729
The Rest Is Noise: Listening(-)to the Twentieth Century	1150.82696859806,2687.871719785082
The Rebel: An Essay(-)on Man in Revolt	2163.289470577164,2820.2719646781875
The Alchemist	4225.2819477271005,2395.928348145767
Steppenwolf: A(-)Novel	2609.60645143855,2666.519160065396
Narcissus and(-)Goldmund	2780.374900015554,2729.7233191939204
Pride and(-)Prejudice	3244.725257375382,1580.1380569658647
Wide Sargasso Sea:(-)A Novel	2337.2079007464945,1840.0594284103668
Emma	3301.020417577349,1470.4053437369766
Great Expectations(-)	3070.346481395281,1930.5459123634091
Favorite Jane Austen Novels: Pride and Prejudice,(-)Sense and Sensibility and Persuasion	3480.4251001678945,1396.5181140335553
The Host:(-)A Novel	4027.0670717859557,1176.902146717186
The Eternal Husband and(-)Other Stories	1965.063656658477,2531.728379357133
Stone Cold	185.24545511409121,2152.9333316099796
People of the Book:(-)A Novel	684.7589462415374,2204.3351071386883
Playing for(-)Pizza	277.29300784144573,2040.7283276344767
A Place(-)Called Freedom	63.63496106909464,2485.2121878564712
Night Over(-)Water	30.0,2423.6718088630055
The Man From(-)St. Petersburg	54.89348410342713,2332.7985648208783
On My Own: The Art of(-)Being a Woman Alone	467.33079986183265,2187.027357001765
A New Earth: Awakening to(-)Your Life's Purpose	397.5040831238409,2131.7701798230896
Happy for No Reason: 7 Steps to(-)Being Happy from the Inside Out	412.857441040928,2181.49670270544
The Self-esteem Companion: Simple Exercises to Help You Challenge(-)Your Inner Critic & Celebrate Your Personal Strengths	441.52332659116473,2097.73770960438
Three Cups of Tea: One Man's Mission to Promote Peace(-). . . One School at a Time	677.1143697883105,2035.6116344865957
A Writer's Workbook: Daily Exercises(-)for the Writing Life	444.51893123318507,1941.6390611822815
Stern Men:(-)A Novel	855.8612712472318,1960.5816704165886
Still Life with Chickens: Starting Over(-)in a House by the Sea	745.9146564832057,2069.695788288597
Into the(-)Wild	522.1338569476603,1955.4172002648174
The Book of Laughter(-)and Forgetting	1725.062529430994,2702.538420736226
A Heartbreaking Work of(-)Staggering Genius	1780.4902121999505,2691.705386816693
The Unbearable Lightness of(-)Being	1705.151877687886,2651.621091830731
Of Love and Other(-)Demons	1440.3296257422953,2788.125692593907
The Autumn of the(-)Patriarch	1299.622723660765,2763.5957728490757
Snow Flower and the(-)Secret Fan: A Novel	1041.1901415149573,2534.125460190168
Suite Francaise	1006.6361871607429,2623.995173263953
The Thirteenth Tale:(-)A Novel	950.0825845877865,2399.7510575287765
The Memory(-)Keeper's Daughter	912.6488030008993,2615.344099617243
Girl, Interrupted	1360.0590984879486,1343.8180014757302
The Bell(-)Jar	1631.6956461409136,1260.4802196045346
The Virgin(-)Suicides	1230.1300734963806,1564.5302672678797
Prozac Nation(-)	1399.6407850257178,1393.9843079513464
The Perks of Being(-)a Wallflower	1275.2799695376418,1527.1453790581586
The Constant(-)Princess	447.6110652337368,3331.9124523924147
The Queen's Fool: A(-)Novel	503.57978810097234,3399.445048692564
The Virgin's(-)Lover	385.76141705456075,3382.984471285985
The Six Wives of(-)Henry VIII	578.3395071920439,3250.7135296177007
Katherine	393.456637452844,3279.2663094788913
The Gathering(-)	1118.5492089726397,2123.5498205508106
Divisadero	1245.0218308324345,2275.7438426425315
Bridge of Sighs: A(-)Novel	1114.409359610002,2214.121364076052
Blood Meridian: Or the Evening(-)Redness in the West	276.1027640560728,3042.9601893325057
All the(-)Pretty Horses	367.76875440522275,3041.0712938167444
The Border Trilogy: All the Pretty Horses, the(-)Crossing, Cities of the Plain	249.97126038686764,2959.302127334796
Oil!	460.18245007313425,2981.4903419514817
Suttree	315.82752779994286,2946.6787063161746
Being and(-)Time	2224.213014678898,3380.468835220752
Existentialism And Human(-)Emotions	2354.847473887842,2893.9894906883974
Wiesel's Night(-)	2730.667616336333,1867.6800936455213
Chinua Achebe's Things Fall(-)Apart	2395.5479745895514,2087.4605873082287
Achebe's Things Fall Apart:(-)A Reader's Guide	2335.8883354724885,2151.281467040846
Spark Notes Things(-)Fall Apart	2599.741022325286,2122.0741623350004
Chinua Achebe's Things Fall(-)Apart: A Casebook	2443.375502410954,2225.079099662724
One Day in the Life(-)of Ivan Denisovich	3260.4881834749817,2110.8251716817676
Rosencrantz & Guildenstern(-)Are Dead	2698.032541772125,2409.7324848995386
Grendel	2738.9434586764655,2486.9634703601914
King Lear(-)	3131.2686183840497,2500.3499712892162
The Merchant of(-)Venice	3188.001539181946,2377.160601165086
Macbeth_	2917.1108968597036,2062.8287795156602
The Tempest_(-)	3166.777002279982,1935.7683145709784
Henry IV, Part(-)1	3191.71680262511,2617.573724174382
13 by Shanley: Thirteen(-)Plays	3137.339898450042,256.730679723541
Angels in America:  A Gay Fantasia on National Themes:(-)Part One: Millennium Approaches Part Two:  Perestroika	2916.203528561025,721.7549304278275
Doubt	3359.8975186924376,330.8792105843107
The Seafarer	3209.234524359869,78.63740785550647
Rock 'n' Roll: A(-)New Play	3288.5901291524497,30.0
Dead Man's(-)Cell Phone	3379.6613433169523,74.73393897550582
Rabbit Hole	3420.1082442281354,178.31534059994615
Sarah Kane:(-)Complete Plays	3338.4487649027296,242.87035066255328
Oleanna	2942.5050116356933,578.2056482274387
Sexual Perversity in Chicago and the(-)Duck Variations: Two Plays	2958.781577852478,456.2130459308279
How I Learned(-)to Drive	3249.816822488704,490.9376922914896
Anna In(-)The Tropics	3238.091904599155,364.98778019003464
Down These(-)Mean Streets	1573.0007299402948,1570.6474953663792
The Lost(-)Symbol	866.1040372228819,1671.2809567007364
The Scarecrow	792.4793386683262,1632.4524960750982
The Gate(-)House	445.58644054089865,1598.806126546457
Heat Lightning(-)	464.5807667556934,1457.9953352443608
Extreme Measures: A(-)Thriller	523.4713753387322,1536.0572237056956
Bones	546.2794955362831,1427.0992545552645
The Book(-)Thief	876.4818098186996,2188.146697766344
Man Gone Down:(-)A Novel	1239.6136004126454,2197.771269243034
Little Heathens: Hard Times and High Spirits on(-)an Iowa Farm During the Great Depression	850.748138840706,2286.2817646121366
The Kite(-)Runner	1279.4298944697757,2658.746138541797
Midnight's Children:(-)A Novel	1677.6853270310098,2221.9011856170246
Rescuing Sprite: A Dog Lover's Story(-)of Joy and Anguish	2991.1778417354813,2815.403491608306
Ralph Ellison's Invisible Man:(-)A Casebook	1883.374149638915,593.0606876287042
Ralph Ellison: A(-)Biography	1763.9663593656755,768.3003457383484
New Essays on Invisible(-)Man	1969.5436988873362,603.3185724976042
A Historical Guide to(-)Ralph Ellison	2002.4713261534844,505.99458159900723
Spark Notes The Grapes(-)of Wrath	2192.7072526616103,961.6940047448101
The Old Man and(-)The Sea	2083.7426098966166,1366.5524323750994
For Whom the(-)Bell Tolls	2012.0800625956438,1318.4349034324996
A Moveable(-)Feast	1884.4399013603313,1279.3153215751665
The Portable Harlem Renaissance(-)Reader	2276.258129882139,771.4805917611799
Passing:	2113.0263259085423,921.48682088966
Home To(-)Harlem	2314.4624840887045,706.8086465358547
The Blacker the(-)Berry	2348.0279121936437,778.334926356535
I Love Myself When I Am Laughing... And(-)Then Again: A Zora Neale Hurston Reader	2302.4390968469725,466.98408216150665
Zora Neale Hurston: A(-)Literary Biography	2289.3092899897556,354.6190000434833
Mules and(-)Men	2440.857099828586,549.3666492261898
Zora Neale Hurston : Novels and Stories : Jonah's Gourd Vine / Their Eyes Were Watching(-)God / Moses, Man of the Mountain / Seraph on the Suwanee / Selected Stories	2146.598878120446,558.3136768025139
Tell My Horse: Voodoo and Life(-)in Haiti and Jamaica	2426.3057661289404,662.0675135546556
The Iliad(-)of Homer	2348.1130600518577,3957.742311956311
Twelfth Night_(-)	3173.654625984722,2000.7507717810715
The Canterbury(-)Tales	2933.5689554022674,3259.509412362148
Olivier Messiaen: Quartet for(-)the End of Time	1140.3850968547883,2727.203851491637
The Nine: Inside the Secret World(-)of the Supreme Court	760.4614293088474,2582.5559754319897
This Is Your Brain on Music:(-)The Science of a Human Obsession	828.851698894794,2906.454170431218
Resistance, Rebellion, and(-)Death: Essays	2351.884266789424,2776.257651295585
Warrior of the Light:(-)A Manual	4636.73499857599,2299.6060701132687
The Pilgrimage(-)	4586.040010551737,2360.7006886421377
By the River Piedra I Sat Down and(-)Wept: A Novel of Forgiveness	4582.188153167786,2431.7886700326308
The Witch of Portobello:(-)A Novel	4469.8152225007325,2340.0070346568396
Veronika Decides to Die: A(-)Novel of Redemption	4653.6385977188365,2398.8973376288795
The Glass Bead(-)Game:	2740.9622351003372,2813.363089736336
Demian	2543.1717472944774,2762.1689278105123
Narcissus and Goldmund:(-)A Novel	2708.510940398824,2703.20317039942
The Journey to(-)the East	2705.6000946797994,2989.0091469004115
Beneath the(-)Wheel	2658.220286943745,2772.678024928608
Pride &(-)Prejudice	3404.3667810820903,1472.4625547016612
Sense and(-)Sensibility	3194.502823371572,1409.3734796081544
Persuasion	3178.7525320792397,1493.1424991364806
Bronte's Wuthering(-)Heights	3251.3250540587187,1774.1227056587309
A Tale of Two(-)Cities	2962.7859552028676,1906.6265038042927
CliffsNotes Jane(-)Eyre	3092.9748966499906,1787.1918475824727
A Passage(-)to India	2244.993885589778,2195.9647856760166
White Teeth:(-)A Novel	1865.1943901920656,2097.3862574153914
Northanger Abbey(-)	3338.8977170082285,1368.9756653957634
Mansfield Park(-)	3278.820740311236,1330.2413943830363
Oliver Twist(-)	3132.224209193719,1653.5776005753398
Twilight	3980.607577148266,1090.158980934942
Pride and Prejudice -(-)The Special Edition	3505.0522519361466,1351.0842642781768
The Twilight Saga: The(-)Official Guide	4325.614965262476,1146.4432064885582
Marked	4361.112261242786,811.8298684622114
Twilight Soundtrack	4201.366162216616,1020.5444012941887
Twilight: The Complete Illustrated(-)Movie Companion	4216.406213389201,1122.8746371443258
Betrayed	4374.11464498183,897.3371409863432
Run: A(-)Novel	968.8538459591733,2129.128040348761
The Maytrees:(-)A Novel	1075.3428401617339,2276.944757980025
Heidegger's Being And Time:(-)A Reader's Guide	2103.449560726132,3392.8319896447297
Phenomenology of(-)Perception	2187.709558798842,3291.4120032037854
Introduction to(-)Metaphysics	2148.938908644956,3221.878575066831
Phenomenology of(-)Spirit	2422.8339686700274,3578.297518120141
Basic Writings	2082.768789346195,3306.9468335108886
The Ethics(-)Of Ambiguity	2238.4913432008566,3023.2641892221063
The Gulag Archipelago Volume 1: An(-)Experiment in Literary Investigation	3651.8089122268343,2102.4112957662974
Cancer Ward	3540.2222859582066,2188.385546508928
The Master(-)and Margarita	2789.5212301269776,2267.8535903466277
Beowulf: A New Verse(-)Translation	2878.864431701387,2981.0925218623456
Twelfth Night(-)	3047.4767072920363,2374.452698916411
The Winter's(-)Tale	3107.688433617797,2580.7582464322604
Twelfth Night: or, What(-)You Will	3231.813641082033,2548.2285370725062
The Taming of the(-)Shrew	3230.3954709077357,2374.217187075536
Manchild in the(-)Promised Land	1782.2347504780644,1257.2280318239184
Bodega Dreams:(-)A Novel	1400.887151798244,1730.5346980408272
Dreaming in(-)Cuban	1468.604174880246,1683.3975580143265
How the Garcia Girls(-)Lost Their Accents	1511.7392154425054,1763.0194714352158
The Boy In the(-)Striped Pajamas	913.2329110506519,2030.5798824271405
I Am(-)the Messenger	860.9782713613633,2071.0601608689253
A Thousand(-)Splendid Suns	1318.2409200436152,2909.6848010605554
The Satanic Verses:(-)A Novel	1418.5847805928854,2322.325441584322
The Moor's(-)Last Sigh	1508.3042069442045,2326.9122747620363
Liberty and Tyranny: A(-)Conservative Manifesto	3579.5169053925806,3144.7318387179034
My Grandfather's Son:(-)A Memoir	3358.716254458532,2992.962835142687
Men in Black: How the Supreme(-)Court Is Destroying America	3446.9145129990184,2915.9769991739117
An Inconvenient Book: Real Solutions to(-)the World's Biggest Problems	3437.1585789280252,2998.8995382724975
The Christmas(-)Sweater	3099.200824101377,2874.799328664106
The Collected Essays of(-)Ralph Ellison	1797.9017847104835,464.3546680037465
The Cambridge Companion to(-)Ralph Ellison	1917.3849726168091,528.8537220910735
Juneteenth: A(-)Novel	1788.537322432931,582.7521596889729
Flying Home: and(-)Other Stories	1839.558686943628,753.5854103806574
Ralph Ellison: Emergence(-)of Genius	1880.7207905519165,407.78715863417403
Steinbeck's the Grapes of(-)Wrath	2242.751154438042,1035.5743152171874
Spark Notes The(-)Great Gatsby	2268.9038007799472,1105.1301899169973
Brave New World and(-)Brave New World Revisited	2552.095842959797,1816.9801705986615
Frankenstein	2799.14319604175,2397.5712870857446
The Complete Short Stories of Ernest(-)Hemingway: The Finca Vigia Edition	2027.667664836653,1216.7526500921954
To Have and(-)Have Not	1927.4447223035895,1353.3100933696687
The Oresteia: Agamemnon; The Libation(-)Bearers; The Eumenides	2332.881768987339,3503.752918620288
The Histories(-)	1991.3200881315208,4144.735628201101
The Divine(-)Comedy	2782.4261892569516,3557.5214270384868
The Inferno(-)	2786.889907293755,3755.6030546355373
Livy: The Early History of(-)Rome, Books I-V	1795.6662138156494,4416.033117216289
The Annals of Imperial(-)Rome	2036.6688346447272,4297.201272972677
Metamorphoses	2222.6049987083084,3626.11574859515
The Epic of Gilgamesh: An English(-)Verison with an Introduction	2568.5769096045938,3245.119517602361
Theogony, Works and(-)Days	2136.154064529076,3603.0392080826487
Mythology: Timeless Tales of(-)Gods and Heroes	2003.2661507352561,2784.5410633629563
How to Read Literature Like a Professor: A Lively(-)and Entertaining Guide to Reading Between the Lines	2322.621058564007,1542.539824525406
Plato: Republic	2824.650177435758,4283.7167099678345
The Trial and Death(-)of Socrates	2344.4709682866082,4073.3656862154876
The Odyssey(-)of Homer	2207.109786153728,4043.4850366590113
Aeschylus I: Oresteia: Agamemnon, The Libation(-)Bearers, The Eumenides	2196.5277609782897,4263.6730701862625
Sophocles I: Oedipus The King, Oedipus(-)at Colonus, Antigone	2191.887721970901,4374.005631892124
The History of the Peloponnesian(-)War: Revised Edition	2338.5795279510767,4255.7841807820305
Legacy of Ashes: The(-)History of the CIA	770.1149529591402,2478.420137790519
The Age of Turbulence: Adventures(-)in a New World	721.8637841529377,2571.1701893492495
The Coldest Winter: America(-)and the Korean War	657.9240025758553,2568.5677976221486
The Brethren: Inside the(-)Supreme Court	779.6158635183226,2633.9889757453443
American Creation: Triumphs and Tragedies in(-)the Founding of the Republic	726.1278735161054,2627.4891063629593
